player_id,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
5799,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,100.0
5800,3,0,0,13,4,2,0,13,13,0,1,0,79,16,12,57.1
5801,1,0,0,9,4,4,12,1,9,0,0,0,33,20,37,35.1
5802,2,0,0,13,7,2,7,5,11,0,0,0,50,16,9,64.0
5803,3,0,0,10,3,0,8,7,5,0,0,0,19,8,3,72.7
5804,0,0,0,2,5,1,3,3,8,0,0,0,25,2,3,40.0
5805,2,0,0,2,6,5,21,1,5,0,0,0,37,6,6,50.0
5806,0,0,0,1,3,0,16,1,0,0,0,0,12,4,3,57.1
5807,1,0,0,6,4,0,5,0,3,0,0,0,8,5,7,41.7
5808,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,0.0
5809,0,0,0,1,5,0,7,1,1,0,0,0,7,0,2,0.0
5810,0,0,0,2,2,0,4,1,5,0,0,0,7,3,3,50.0
5811,0,0,0,2,3,1,1,0,0,0,0,0,5,1,6,14.3
5812,0,0,0,0,7,0,0,1,1,0,0,0,19,8,0,100.0
5813,10,0,0,39,26,1,51,48,45,0,0,0,124,72,32,69.2
5814,0,0,0,15,16,25,9,7,8,0,0,0,50,36,64,36.0
5815,3,0,0,21,13,2,13,34,18,0,0,0,144,43,26,62.3
5816,4,1,0,20,16,0,5,19,26,0,0,0,237,17,22,43.6
5817,7,1,1,39,25,1,55,19,50,0,1,0,111,32,30,51.6
5818,4,0,0,29,33,4,17,6,8,1,0,0,75,48,118,28.9
5819,7,0,0,38,18,0,37,16,41,0,0,0,124,27,19,58.7
5820,4,1,0,19,12,0,1,22,17,0,1,0,75,35,24,59.3
5821,4,1,1,24,35,3,63,4,8,0,1,0,72,12,24,33.3
5822,4,1,0,16,8,0,6,22,16,0,1,0,88,40,37,51.9
5823,2,0,0,12,26,0,51,10,11,1,0,0,91,9,37,19.6
5824,3,0,0,12,12,0,33,10,14,1,1,0,59,4,7,36.4
5825,6,1,1,11,7,0,3,23,12,0,0,1,83,16,19,45.7
5826,2,0,0,20,10,0,14,8,14,0,0,0,81,5,14,26.3
5827,5,0,0,8,9,0,27,6,14,0,0,0,48,12,16,42.9
5828,1,0,0,9,7,0,1,6,10,0,0,0,27,9,9,50.0
5829,0,0,0,4,2,1,32,2,5,0,0,0,35,4,6,40.0
5830,4,1,1,9,4,0,15,7,5,0,0,0,27,6,9,40.0
5831,1,1,0,11,5,0,6,9,5,0,1,0,30,9,8,52.9
5832,0,0,0,3,9,0,32,3,6,0,0,0,18,0,7,0.0
5833,0,0,0,7,5,0,19,0,1,0,0,0,15,2,7,22.2
5834,0,0,0,5,5,0,6,2,5,0,0,0,10,6,7,46.2
5835,1,0,0,6,4,0,7,0,5,0,0,0,13,1,4,20.0
5836,1,0,0,4,3,1,0,0,1,0,0,0,1,0,3,0.0
5837,1,0,0,5,3,2,2,2,3,0,0,0,11,4,14,22.2
5838,0,0,0,3,4,0,8,0,2,0,0,0,10,0,4,0.0
5839,0,0,0,0,1,0,0,1,6,0,0,0,10,1,0,100.0
5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5842,3,1,1,23,41,1,68,26,38,0,0,0,214,43,31,58.1
5843,5,0,0,13,5,1,0,45,22,0,0,0,129,73,23,76.0
5844,1,0,0,0,1,0,0,1,0,0,0,0,13,7,1,87.5
5845,8,1,1,33,17,4,9,33,24,0,0,0,114,36,31,53.7
5846,3,0,0,25,28,3,35,21,30,0,0,0,130,20,24,45.5
5847,4,0,0,25,43,6,12,1,8,0,0,0,37,45,59,43.3
5848,4,0,0,11,5,0,0,22,13,0,0,1,97,31,34,47.7
5849,3,1,1,12,30,6,13,7,5,0,0,0,70,20,24,45.5
5850,3,0,0,13,13,3,25,2,11,1,0,0,34,56,54,50.9
5851,2,0,0,11,12,0,4,18,18,0,0,0,64,14,12,53.8
5852,4,0,0,15,29,1,46,13,10,0,0,0,90,17,13,56.7
5853,3,0,0,10,11,2,1,28,17,0,0,1,108,22,16,57.9
5854,4,0,0,8,10,0,6,20,15,0,1,0,81,32,13,71.1
5855,1,0,0,17,11,7,68,5,14,0,0,0,73,16,16,50.0
5856,1,0,0,20,15,0,67,6,14,0,0,0,60,10,36,21.7
5857,3,0,0,18,6,0,0,3,17,0,0,0,73,8,6,57.1
5858,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0
5859,1,0,0,8,8,1,9,10,20,0,1,0,58,12,6,66.7
5860,2,0,0,11,4,0,2,6,12,0,0,0,41,12,11,52.2
5861,1,0,0,11,11,1,28,6,7,0,0,0,47,2,8,20.0
