Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
182.0,Salvatore Sirigu,it ITA,GK,Fiorentina,it Serie A,35.0,1987.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19,1.0,0.96,6.0,16.0,37.5,30.0,9.0,40.0,37.7,8.0,50.0,41.8,12.0,0.0,0.0,2.0,2.0,26.3
183.0,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,31.0,1991.0,37.0,49.0,7.0,1.0,6.0,3.0,47.8,0.25,1.8,0.05,146.0,371.0,39.4,933.0,206.0,29.8,31.7,278.0,33.5,33.0,492.0,29.0,5.9,24.0,0.65,12.9
184.0,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,fr Ligue 1,28.0,1994.0,6.0,14.0,1.0,0.0,1.0,1.0,9.1,0.34,-3.9,-0.65,19.0,87.0,21.8,102.0,11.0,56.9,40.7,40.0,72.5,48.2,93.0,6.0,6.5,6.0,1.0,11.5
185.0,Yann Sommer,ch SUI,GK,Bayern Munich,de Bundesliga,33.0,1988.0,19.0,25.0,7.0,1.0,1.0,0.0,23.7,0.32,-1.3,-0.07,48.0,118.0,40.7,651.0,83.0,14.6,25.1,98.0,23.5,28.7,212.0,12.0,5.7,27.0,1.42,16.7
186.0,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,33.0,1988.0,10.0,14.0,2.0,1.0,0.0,1.0,16.7,0.25,3.7,0.37,48.0,141.0,34.0,517.0,52.0,23.0,28.2,90.0,24.4,28.6,162.0,5.0,3.1,13.0,1.3,14.6
187.0,David Soria,es ESP,GK,Getafe,es La Liga,29.0,1993.0,38.0,45.0,4.0,0.0,7.0,2.0,45.5,0.23,2.5,0.07,409.0,904.0,45.2,782.0,99.0,75.1,49.8,347.0,91.4,59.8,586.0,36.0,6.1,46.0,1.21,15.0
188.0,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,30.0,1992.0,14.9,21.0,1.0,1.0,2.0,0.0,19.6,0.29,-1.4,-0.1,52.0,148.0,35.1,346.0,85.0,20.5,28.8,116.0,66.4,49.7,200.0,18.0,9.0,18.0,1.21,15.0
189.0,Jason Steele,eng ENG,GK,Brighton,eng Premier League,31.0,1990.0,15.0,23.0,1.0,0.0,2.0,3.0,18.5,0.29,-1.5,-0.1,34.0,74.0,45.9,483.0,48.0,14.9,24.2,55.0,3.6,13.9,126.0,10.0,7.9,19.0,1.27,15.7
190.0,Mile Svilar,rs SRB,GK,Roma,it Serie A,22.0,1999.0,3.0,3.0,0.0,0.0,0.0,0.0,2.9,0.29,-0.1,-0.03,16.0,44.0,36.4,61.0,13.0,50.8,41.4,16.0,81.3,60.1,42.0,6.0,14.3,4.0,1.33,12.1
191.0,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,32.0,1990.0,27.5,26.0,3.0,0.0,5.0,0.0,26.0,0.25,0.0,0.0,128.0,270.0,47.4,634.0,128.0,32.2,33.5,153.0,43.1,38.3,389.0,11.0,2.8,21.0,0.76,14.7
192.0,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,36.0,1986.0,16.0,22.0,2.0,2.0,4.0,1.0,16.8,0.25,-4.2,-0.26,94.0,195.0,48.2,473.0,75.0,32.1,32.9,83.0,51.8,41.8,195.0,9.0,4.6,13.0,0.81,14.4
193.0,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,30.0,1992.0,37.2,18.0,3.0,0.0,2.0,3.0,23.7,0.21,8.7,0.23,168.0,335.0,50.1,1215.0,185.0,22.1,28.9,197.0,34.0,35.2,368.0,18.0,4.9,41.0,1.1,16.4
194.0,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,32.0,1990.0,29.0,38.0,6.0,0.0,3.0,2.0,33.1,0.28,-2.9,-0.1,155.0,375.0,41.3,871.0,113.0,32.7,33.2,198.0,45.5,40.5,271.0,12.0,4.4,55.0,1.9,18.4
195.0,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,32.0,1990.0,33.0,51.0,2.0,1.0,7.0,1.0,42.3,0.32,-7.7,-0.23,80.0,326.0,24.5,664.0,128.0,39.2,34.8,219.0,30.1,34.1,401.0,17.0,4.2,24.0,0.73,14.4
196.0,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,23.0,1999.0,11.5,32.0,2.0,0.0,8.0,2.0,24.0,0.34,-6.0,-0.52,71.0,154.0,46.1,250.0,54.0,35.6,31.9,118.0,55.1,43.8,229.0,5.0,2.2,5.0,0.43,10.5
197.0,Martin Turk,si SVN,GK,Sampdoria,it Serie A,18.0,2003.0,4.0,9.0,1.0,0.0,3.0,0.0,8.0,0.26,-1.0,-0.25,35.0,78.0,44.9,99.0,15.0,41.4,35.1,43.0,86.0,56.3,60.0,0.0,0.0,2.0,0.5,12.3
198.0,Samir Ujkani,xk KVX,GK,Empoli,it Serie A,34.0,1988.0,0.1,1.0,0.0,0.0,0.0,0.0,0.2,0.25,-0.8,-9.69,0.0,0.0,,2.0,1.0,0.0,18.5,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,
199.0,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,33.0,1988.0,3.0,2.0,0.0,0.0,1.0,0.0,2.4,0.18,0.4,0.13,9.0,26.0,34.6,112.0,21.0,20.5,26.0,18.0,16.7,23.4,34.0,2.0,5.9,4.0,1.33,17.5
200.0,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,25.0,1996.0,30.9,39.0,4.0,0.0,8.0,1.0,40.9,0.27,2.9,0.09,138.0,455.0,30.3,1106.0,151.0,33.5,33.8,170.0,50.0,42.9,606.0,34.0,5.6,22.0,0.71,11.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.0,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,25.0,1997.0,19.0,24.0,3.0,0.0,6.0,0.0,22.2,0.31,-1.8,-0.09,81.0,239.0,33.9,435.0,96.0,34.7,33.8,157.0,56.1,44.8,256.0,8.0,3.1,14.0,0.74,14.2
202.0,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,29.0,1993.0,26.0,46.0,2.0,2.0,6.0,4.0,36.5,0.29,-5.5,-0.21,94.0,303.0,31.0,750.0,154.0,29.7,30.4,190.0,42.1,35.1,355.0,20.0,5.6,42.0,1.62,15.9
203.0,Axel Werner,ar ARG,GK,Elche,es La Liga,26.0,1996.0,2.0,4.0,0.0,0.0,2.0,0.0,2.4,0.31,-1.6,-0.82,4.0,20.0,20.0,53.0,9.0,32.1,34.9,16.0,18.8,33.8,26.0,1.0,3.8,1.0,0.5,14.0
204.0,Joseph Whitworth,eng ENG,GK,Crystal Palace,eng Premier League,18.0,2004.0,2.0,5.0,0.0,0.0,0.0,0.0,2.3,0.23,-2.7,-1.33,8.0,27.0,29.6,68.0,8.0,29.4,30.1,15.0,46.7,36.7,25.0,1.0,4.0,3.0,1.5,15.4
205.0,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,27.0,1994.0,26.0,39.0,3.0,1.0,2.0,0.0,35.4,0.3,-3.6,-0.14,160.0,474.0,33.8,672.0,146.0,50.0,40.0,194.0,71.1,54.1,321.0,43.0,13.4,53.0,2.04,17.4
206.0,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,27.0,1995.0,1.7,3.0,0.0,0.0,1.0,0.0,3.2,0.24,0.2,0.11,16.0,33.0,48.5,49.0,13.0,51.0,41.6,12.0,66.7,50.3,15.0,3.0,20.0,4.0,2.37,16.5
207.0,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,31.0,1991.0,3.7,4.0,1.0,0.0,1.0,0.0,2.8,0.14,-1.2,-0.31,25.0,78.0,32.1,110.0,13.0,54.5,39.0,23.0,78.3,58.4,62.0,4.0,6.5,6.0,1.61,14.7
208.0,Petar Zovko,ba BIH,GK,Spezia,it Serie A,20.0,2002.0,0.8,2.0,0.0,0.0,0.0,0.0,1.7,0.55,-0.3,-0.42,7.0,21.0,33.3,23.0,3.0,47.8,35.1,13.0,76.9,51.1,24.0,1.0,4.2,2.0,2.47,17.0
