Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1.0,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22.0,2000.0,2.6,4.0,0.0,0.0,0.0,0.0,2.4,0.2,-1.6,-0.61,18.0,49.0,36.7,78.0,20.0,35.9,32.4,22.0,95.5,64.5,41.0,2.0,4.9,3.0,1.13,15.3
2.0,Alisson,br BRA,GK,Liverpool,eng Premier League,30.0,1992.0,28.0,30.0,1.0,0.0,4.0,1.0,28.7,0.26,-0.3,-0.01,60.0,183.0,32.8,1021.0,140.0,14.1,24.7,116.0,33.6,33.3,299.0,13.0,4.3,33.0,1.18,17.7
3.0,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30.0,1993.0,30.0,53.0,5.0,0.0,3.0,3.0,52.1,0.24,2.1,0.07,160.0,430.0,37.2,643.0,144.0,43.9,36.8,219.0,67.6,47.3,468.0,27.0,5.8,7.0,0.23,8.9
4.0,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37.0,1986.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,0.0,1.0,0.0,1.0,0.0,100.0,64.0,0.0,,,3.0,0.0,0.0,0.0,0.0,
5.0,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28.0,1994.0,13.3,9.0,0.0,0.0,0.0,1.0,10.0,0.28,2.0,0.15,34.0,92.0,37.0,386.0,57.0,19.2,27.0,70.0,25.7,30.6,157.0,6.0,3.8,10.0,0.75,14.7
6.0,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21.0,2002.0,34.0,58.0,3.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,485.0,31.0,6.4,30.0,0.88,13.6
7.0,Emil Audero,id IDN,GK,Inter,it Serie A,26.0,1997.0,3.7,3.0,0.0,0.0,0.0,0.0,3.1,0.28,0.1,0.02,6.0,24.0,25.0,177.0,28.0,11.9,24.6,18.0,16.7,27.2,54.0,6.0,11.1,2.0,0.53,10.2
8.0,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19.0,2004.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.36,1.0,2.0,50.0,1.0,0.0,100.0,47.0,2.0,50.0,53.0,0.0,0.0,,0.0,0.0,
9.0,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27.0,1996.0,17.0,28.0,0.0,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2
10.0,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32.0,1991.0,4.0,3.0,0.0,1.0,0.0,0.0,2.4,0.15,-0.6,-0.15,18.0,58.0,31.0,132.0,14.0,38.6,34.7,21.0,33.3,34.8,38.0,4.0,10.5,2.0,0.5,11.3
11.0,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33.0,1990.0,34.0,66.0,2.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1159.0,165.0,33.7,32.7,249.0,55.4,44.9,545.0,31.0,5.7,73.0,2.15,16.7
12.0,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21.0,2002.0,15.0,26.0,3.0,0.0,1.0,1.0,19.9,0.25,-5.1,-0.34,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4
13.0,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30.0,1993.0,4.3,7.0,0.0,0.0,0.0,0.0,5.8,0.39,-1.2,-0.28,13.0,56.0,23.2,111.0,9.0,36.0,33.8,33.0,48.5,36.9,50.0,0.0,0.0,3.0,0.7,13.3
14.0,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34.0,1989.0,14.0,25.0,2.0,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4
15.0,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25.0,1998.0,4.0,11.0,0.0,0.0,1.0,0.0,10.9,0.32,-0.1,-0.02,18.0,61.0,29.5,118.0,26.0,42.4,38.0,23.0,47.8,42.5,56.0,3.0,5.4,0.0,0.0,9.6
16.0,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32.0,1991.0,32.0,34.0,2.0,0.0,4.0,0.0,36.2,0.27,2.2,0.07,232.0,482.0,48.1,908.0,134.0,39.3,35.1,188.0,66.5,47.3,382.0,18.0,4.7,41.0,1.28,15.7
17.0,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28.0,1995.0,1.3,2.0,0.0,0.0,0.0,0.0,1.3,0.21,-0.7,-0.55,5.0,12.0,41.7,41.0,6.0,26.8,28.4,10.0,10.0,27.0,24.0,4.0,16.7,1.0,0.74,10.4
18.0,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32.0,1991.0,21.0,30.0,4.0,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,251.0,16.0,6.4,37.0,1.76,17.6
19.0,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32.0,1991.0,1.0,2.0,0.0,0.0,0.0,0.0,1.1,0.37,-0.9,-0.88,6.0,16.0,37.5,24.0,4.0,41.7,36.1,7.0,85.7,57.4,9.0,0.0,0.0,0.0,0.0,
20.0,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40.0,1983.0,7.0,5.0,0.0,0.0,0.0,1.0,5.5,0.27,1.5,0.21,38.0,80.0,47.5,169.0,30.0,30.2,30.6,60.0,48.3,40.1,101.0,4.0,4.0,6.0,0.86,12.6
21.0,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28.0,1995.0,4.0,3.0,0.0,0.0,1.0,0.0,5.0,0.23,2.0,0.49,22.0,61.0,36.1,168.0,15.0,31.5,31.0,11.0,72.7,51.7,55.0,1.0,1.8,5.0,1.25,16.6
