Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1.0,Adrián,es ESP,GK,Liverpool,eng Premier League,33.0,1987.0,3.0,9.0,0.0,0.0,2.0,0.0,6.8,0.38,-2.2,-0.72,11.0,28.0,39.3,77.0,19.0,31.2,31.3,22.0,18.2,21.1,35.0,0.0,0.0,6.0,2.0,17.0
2.0,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25.0,1995.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.5,0.0,3.0,0.0,10.0,2.0,30.0,28.2,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,
3.0,Alisson,br BRA,GK,Liverpool,eng Premier League,27.0,1992.0,33.0,32.0,4.0,1.0,4.0,0.0,35.0,0.27,3.0,0.09,74.0,194.0,38.1,980.0,165.0,14.9,25.7,173.0,27.7,30.4,341.0,20.0,5.9,87.0,2.64,18.6
4.0,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26.0,1993.0,12.0,30.0,1.0,1.0,2.0,1.0,20.3,0.28,-8.7,-0.72,66.0,187.0,35.3,297.0,70.0,40.7,35.2,105.0,62.9,45.2,166.0,5.0,3.0,17.0,1.42,16.2
5.0,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32.0,1988.0,2.0,5.0,0.0,0.0,0.0,0.0,3.7,0.62,-1.3,-0.64,7.0,13.0,53.8,31.0,6.0,25.8,29.4,9.0,55.6,43.1,23.0,0.0,0.0,0.0,0.0,11.0
6.0,Ángel,es ESP,GK,Granada,es La Liga,18.0,2002.0,1.0,2.0,1.0,0.0,1.0,0.0,3.1,0.13,1.1,1.15,9.0,24.0,37.5,14.0,0.0,71.4,43.7,17.0,82.4,54.8,20.0,0.0,0.0,0.0,0.0,7.7
7.0,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27.0,1993.0,36.0,48.0,6.0,0.0,2.0,1.0,50.5,0.28,3.5,0.1,144.0,389.0,37.0,760.0,173.0,32.8,30.0,251.0,55.8,39.8,501.0,26.0,5.2,31.0,0.86,13.0
8.0,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25.0,1994.0,6.5,8.0,1.0,0.0,0.0,0.0,8.0,0.31,0.0,0.0,21.0,53.0,39.6,200.0,41.0,18.5,27.3,46.0,34.8,31.1,68.0,3.0,4.4,1.0,0.15,9.6
9.0,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31.0,1989.0,36.0,40.0,7.0,0.0,3.0,2.0,36.0,0.24,-2.0,-0.06,157.0,406.0,38.7,1022.0,190.0,26.3,30.2,283.0,48.4,40.4,564.0,27.0,4.8,32.0,0.89,13.9
10.0,Emil Audero,id IDN,GK,Sampdoria,it Serie A,23.0,1997.0,37.0,54.0,7.0,1.0,6.0,1.0,51.9,0.25,-1.1,-0.03,213.0,543.0,39.2,986.0,180.0,38.2,35.0,259.0,64.1,45.3,563.0,12.0,2.1,34.0,0.92,14.8
