Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"FW,RW",28-016,90,0,2,0,0,4,1,0,0,50,0,0,0,0.3,0.3,0.6,9,3,40,46,87.0,6,34,5,0,0
Khvicha Kvaratskhelia,7,ge GEO,LW,24-108,83,1,0,0,0,6,1,0,0,33,2,0,0,0.8,0.8,0.0,3,1,16,20,80.0,1,24,6,4,2
Gonçalo Ramos,9,pt POR,"FW,LW",23-345,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Désiré Doué,14,fr FRA,RW,19-362,66,2,1,0,0,4,3,1,0,36,1,1,0,0.4,0.4,0.8,5,1,20,27,74.1,2,28,2,1,1
Bradley Barcola,29,fr FRA,"RW,LW",22-271,24,0,1,0,0,3,0,0,0,17,1,0,0,0.8,0.8,0.1,3,1,12,12,100.0,1,12,2,1,1
Fabián Ruiz Peña,8,es ESP,LM,29-058,83,0,0,0,0,1,1,0,0,59,0,1,1,0.0,0.0,0.2,4,0,47,56,83.9,6,34,3,0,0
Senny Mayulu,24,fr FRA,LM,19-014,7,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,1,1,2,2,100.0,2,3,0,0,0
Vitinha,17,pt POR,CM,25-107,90,0,1,0,0,0,0,0,0,89,2,1,0,0.0,0.0,0.4,7,2,75,83,90.4,7,50,1,0,0
João Neves,87,pt POR,RM,20-246,83,0,0,0,0,0,0,0,0,65,0,0,2,0.0,0.0,0.0,0,0,55,57,96.5,6,29,0,0,0
Warren Zaïre-Emery,33,fr FRA,RM,19-084,7,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Nuno Mendes,25,pt POR,LB,22-346,77,0,0,0,0,0,0,0,0,63,3,0,1,0.0,0.0,0.2,7,1,47,53,88.7,3,23,0,1,0
Lucas Hernández,21,fr FRA,LB,29-106,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
Willian Pacho,51,ec ECU,CB,23-227,90,0,0,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.0,2,0,33,36,91.7,2,21,0,1,0
Marquinhos,5,br BRA,CB,31-017,90,0,0,0,0,2,0,0,0,58,1,0,1,0.2,0.2,0.0,1,0,43,45,95.6,2,28,0,0,0
Achraf Hakimi,2,ma MAR,RB,26-208,90,1,0,0,0,2,1,1,0,90,2,0,3,0.6,0.6,0.1,3,0,72,81,88.9,4,40,0,1,1
Gianluigi Donnarumma,1,it ITA,GK,26-095,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,14,0,0,0
16 Players,,,,,990,5,5,0,0,23,8,2,0,651,13,4,9,3.2,3.2,2.3,45,10,488,556,87.8,42,347,19,9,5
